source_row_id,source_name,platform,record_type,text,brand,created_at,date,hour,weekday,time_slot,like_count,comment_count,share_count,view_count,engagement_total,engagement_rate,comment_depth,share_rate,sentiment_label,sentiment_score,risk_group,risk_keyword_flag,content_pillar,caption_length,is_phuc_long,rank_score
583,tiktok_videos_clean.csv,tiktok,post,,highlands,2023-03-31 15:44:07,2023-03-31,15.0,Friday,afternoon_14_18,10500,226,569,21000000.0,11295,0.0005378571428571429,0.020008853474988934,2.7095238095238096e-05,neutral,0,none,False,other,0,False,32295.0
577,tiktok_videos_clean.csv,tiktok,post,,highlands,2023-05-23 08:14:48,2023-05-23,8.0,Tuesday,morning_6_11,8765,151,378,22700000.0,9294,0.0004094273127753304,0.016247041101786097,1.6651982378854625e-05,neutral,0,none,False,other,0,False,31994.0
571,tiktok_videos_clean.csv,tiktok,post,,highlands,2023-08-03 17:59:21,2023-08-03,17.0,Thursday,afternoon_14_18,10700,206,646,20200000.0,11552,0.0005718811881188119,0.01783240997229917,3.198019801980198e-05,neutral,0,none,False,other,0,False,31752.0
92,tiktok_videos_clean.csv,tiktok,post,,highlands,2025-09-14 18:07:18,2025-09-14,18.0,Sunday,evening_18_22,12400,120,919,16000000.0,13439,0.0008399375,0.008929235806235582,5.74375e-05,neutral,0,none,False,other,0,False,29439.0
556,tiktok_videos_clean.csv,tiktok,post,,highlands,2024-01-04 17:38:47,2024-01-04,17.0,Thursday,afternoon_14_18,6648,45,113,21700000.0,6806,0.0003136405529953917,0.006611813106082868,5.207373271889401e-06,neutral,0,none,False,other,0,False,28506.0
572,tiktok_videos_clean.csv,tiktok,post,,highlands,2023-07-07 17:31:03,2023-07-07,17.0,Friday,afternoon_14_18,13000,157,276,12200000.0,13433,0.0011010655737704919,0.011687634928906425,2.262295081967213e-05,neutral,0,none,False,other,0,False,25633.0
112,tiktok_videos_clean.csv,tiktok,post,,highlands,2025-05-18 11:02:09,2025-05-18,11.0,Sunday,lunch_11_14,7234,104,2044,16100000.0,9382,0.0005827329192546584,0.011085056491153272,0.00012695652173913042,neutral,0,none,False,other,0,False,25482.0
507,tiktok_videos_clean.csv,tiktok,post,,highlands,2024-06-17 16:58:39,2024-06-17,16.0,Monday,afternoon_14_18,7816,136,369,16000000.0,8321,0.0005200625,0.016344189400312462,2.30625e-05,neutral,0,none,False,other,0,False,24321.0
97,tiktok_videos_clean.csv,tiktok,post,,highlands,2025-08-27 19:00:00,2025-08-27,19.0,Wednesday,evening_18_22,15300,330,1000,6500000.0,16630,0.0025584615384615385,0.01984365604329525,0.00015384615384615385,neutral,0,none,False,other,0,False,23130.0
558,tiktok_videos_clean.csv,tiktok,post,,highlands,2023-11-14 13:55:28,2023-11-14,13.0,Tuesday,lunch_11_14,4703,0,185,17600000.0,4888,0.00027772727272727275,0.0,1.0511363636363637e-05,neutral,0,none,False,other,0,False,22488.0
260,tiktok_videos_clean.csv,tiktok,post,,highlands,2025-09-09 19:04:49,2025-09-09,19.0,Tuesday,evening_18_22,5928,127,1382,14700000.0,7437,0.0005059183673469387,0.017076778270808123,9.401360544217687e-05,neutral,0,none,False,other,0,False,22137.0
