date,brand,platform,total_records,total_engagement,total_comments,total_shares,total_views,positive_count,neutral_count,negative_count,risk_count,net_sentiment_score
2023-08-11,highlands,,8,8.0,8.0,0.0,0.0,2,2,4,2,-0.25
2023-08-12,highlands,,7,7.0,7.0,0.0,0.0,3,3,1,1,0.2857142857142857
2023-08-13,highlands,,6,6.0,6.0,0.0,0.0,3,3,0,2,0.5
2023-08-14,highlands,,4,4.0,4.0,0.0,0.0,1,3,0,1,0.25
2023-08-15,highlands,,2,2.0,2.0,0.0,0.0,1,1,0,0,0.5
2023-08-17,highlands,,4,4.0,4.0,0.0,0.0,1,2,1,0,0.0
2023-08-18,highlands,,1,1.0,1.0,0.0,0.0,0,1,0,0,0.0
2023-08-19,highlands,,1,1.0,1.0,0.0,0.0,1,0,0,0,1.0
2023-08-20,highlands,,1,1.0,1.0,0.0,0.0,1,0,0,0,1.0
2023-08-21,highlands,,1,1.0,1.0,0.0,0.0,0,1,0,0,0.0
2023-08-22,highlands,,2,2.0,2.0,0.0,0.0,0,0,2,2,-1.0
2023-08-24,highlands,,2,2.0,2.0,0.0,0.0,0,2,0,0,0.0
2023-08-26,highlands,,2,2.0,2.0,0.0,0.0,0,1,1,0,-0.5
2023-08-29,highlands,,12,11.0,11.0,0.0,0.0,2,10,0,1,0.16666666666666666
2023-08-30,highlands,,18,17.0,17.0,0.0,0.0,4,14,0,1,0.2222222222222222
2023-08-31,highlands,,7,7.0,7.0,0.0,0.0,2,5,0,1,0.2857142857142857
2023-09-02,highlands,,1,1.0,1.0,0.0,0.0,0,0,1,0,-1.0
2023-09-04,highlands,,1,1.0,1.0,0.0,0.0,1,0,0,1,1.0
2023-09-05,highlands,,1,1.0,1.0,0.0,0.0,1,0,0,0,1.0
2023-09-06,highlands,,5,5.0,5.0,0.0,0.0,0,5,0,0,0.0
2023-09-07,highlands,,2,2.0,2.0,0.0,0.0,0,2,0,0,0.0
2023-09-08,highlands,,1,1.0,1.0,0.0,0.0,0,0,1,0,-1.0
2023-09-09,highlands,,3,3.0,3.0,0.0,0.0,1,2,0,2,0.3333333333333333
2023-09-10,highlands,,7,7.0,7.0,0.0,0.0,2,5,0,0,0.2857142857142857
2023-09-11,highlands,,3,3.0,3.0,0.0,0.0,1,1,1,1,0.0
2023-09-12,highlands,,3,3.0,3.0,0.0,0.0,1,1,1,1,0.0
2023-09-13,highlands,,3,3.0,3.0,0.0,0.0,1,2,0,0,0.3333333333333333
2023-09-14,highlands,,2,2.0,2.0,0.0,0.0,1,0,1,0,0.0
2023-09-15,highlands,,2,2.0,2.0,0.0,0.0,0,1,1,1,-0.5
2023-09-16,highlands,,1,1.0,1.0,0.0,0.0,0,1,0,0,0.0
2023-09-17,highlands,,2,2.0,2.0,0.0,0.0,1,1,0,0,0.5
2023-09-18,highlands,,5,5.0,5.0,0.0,0.0,2,3,0,0,0.4
2023-09-19,highlands,,2,2.0,2.0,0.0,0.0,0,1,1,1,-0.5
2023-09-20,highlands,,1,1.0,1.0,0.0,0.0,0,1,0,0,0.0
2023-09-22,highlands,,4,1.0,1.0,0.0,0.0,0,4,0,0,0.0
2023-09-23,highlands,,2,2.0,2.0,0.0,0.0,0,2,0,0,0.0
2023-09-25,highlands,,1,1.0,1.0,0.0,0.0,0,0,1,0,-1.0
2023-09-27,highlands,,4,4.0,4.0,0.0,0.0,1,2,1,1,0.0
2023-09-28,highlands,,2,2.0,2.0,0.0,0.0,1,1,0,0,0.5
2023-09-29,highlands,,1,1.0,1.0,0.0,0.0,0,0,1,1,-1.0
2023-09-30,highlands,,3,3.0,3.0,0.0,0.0,0,3,0,0,0.0
